Suburb,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,BuildingArea,CouncilArea,Regionname,Propertycount,StreetType,WeekdaySale,Weekend,MonthSale,AgeBuilding,MeanRoomsArea
Abbotsford,2,h,S,Biggin,2016-12-03,2.5,3067,2,1,1,126.0,Yarra,Northern Metropolitan,4019,St,5,1,12,46,25.2
Abbotsford,2,h,S,Biggin,2016-02-04,2.5,3067,2,1,0,79.0,Yarra,Northern Metropolitan,4019,St,3,0,2,116,15.8
Abbotsford,3,h,SP,Biggin,2017-03-04,2.5,3067,3,2,0,150.0,Yarra,Northern Metropolitan,4019,St,5,1,3,117,18.75
Abbotsford,3,h,PI,Biggin,2017-03-04,2.5,3067,3,2,1,126.0,Yarra,Northern Metropolitan,4019,other,5,1,3,47,15.75
Abbotsford,4,h,VB,Nelson,2016-06-04,2.5,3067,3,1,2,142.0,Yarra,Northern Metropolitan,4019,St,5,1,6,2,17.75
Abbotsford,2,h,S,Jellis,2016-05-07,2.5,3067,2,1,0,126.0,Yarra,Northern Metropolitan,4019,St,5,1,5,46,25.2
Abbotsford,3,h,S,Nelson,2016-05-07,2.5,3067,4,2,0,210.0,Yarra,Northern Metropolitan,4019,St,5,1,5,106,23.333333333333332
Abbotsford,2,h,S,Nelson,2016-10-08,2.5,3067,2,1,2,107.0,Yarra,Northern Metropolitan,4019,St,5,1,10,126,21.4
Abbotsford,1,u,S,Biggin,2016-10-08,2.5,3067,1,1,1,126.0,Yarra,Northern Metropolitan,4019,St,5,1,10,46,42.0
Abbotsford,2,h,S,Biggin,2016-10-08,2.5,3067,3,1,2,75.0,Yarra,Northern Metropolitan,4019,St,5,1,10,116,12.5
Abbotsford,2,u,VB,Jellis,2016-11-12,2.5,3067,2,2,1,126.0,Yarra,Northern Metropolitan,4019,St,5,1,11,46,21.0
Abbotsford,3,h,VB,Nelson,2016-11-12,2.5,3067,3,2,2,190.0,Yarra,Northern Metropolitan,4019,St,5,1,11,11,23.75
Abbotsford,2,u,S,Biggin,2016-11-12,2.5,3067,2,2,1,94.0,Yarra,Northern Metropolitan,4019,St,5,1,11,7,15.666666666666666
Abbotsford,2,h,S,Biggin,2016-08-13,2.5,3067,2,1,1,126.0,Yarra,Northern Metropolitan,4019,St,5,1,8,46,25.2
Abbotsford,1,u,SP,Greg,2016-05-14,2.5,3067,1,1,1,126.0,Yarra,Northern Metropolitan,4019,St,5,1,5,46,42.0
Abbotsford,2,h,S,Jellis,2016-10-15,2.5,3067,2,1,2,97.0,Yarra,Northern Metropolitan,4019,St,5,1,10,126,19.4
Abbotsford,3,h,S,Jellis,2016-07-16,2.5,3067,3,2,1,110.0,Yarra,Northern Metropolitan,4019,St,5,1,7,136,13.75
Abbotsford,3,h,S,LITTLE,2016-07-16,2.5,3067,2,1,1,105.0,Yarra,Northern Metropolitan,4019,St,5,1,7,126,17.5
Abbotsford,3,h,S,Collins,2016-09-17,2.5,3067,3,1,0,126.0,Yarra,Northern Metropolitan,4019,St,5,1,9,46,18.0
Abbotsford,2,h,S,Biggin,2016-09-17,2.5,3067,2,1,1,73.0,Yarra,Northern Metropolitan,4019,St,5,1,9,31,14.6
Abbotsford,4,h,PI,Kay,2017-03-18,2.5,3067,4,2,2,135.0,Yarra,Northern Metropolitan,4019,St,5,1,3,117,13.5
Abbotsford,3,t,S,other,2017-03-18,2.5,3067,3,2,2,126.0,Yarra,Northern Metropolitan,4019,St,5,1,3,7,15.75
Abbotsford,3,u,S,Jellis,2017-03-18,2.5,3067,3,2,2,27.0,Yarra,Northern Metropolitan,4019,St,5,1,3,47,3.375
Abbotsford,2,u,S,Collins,2016-06-18,2.5,3067,2,1,1,60.0,Yarra,Northern Metropolitan,4019,St,5,1,6,46,12.0
Abbotsford,2,h,PI,Biggin,2016-06-18,2.5,3067,2,2,1,135.0,Yarra,Northern Metropolitan,4019,St,5,1,6,3,22.5
Abbotsford,2,h,S,Marshall,2016-11-19,2.5,3067,2,1,0,85.0,Yarra,Northern Metropolitan,4019,St,5,1,11,116,17.0
Abbotsford,1,u,SP,Greg,2016-08-22,2.5,3067,1,1,1,126.0,Yarra,Northern Metropolitan,4019,St,0,0,8,46,42.0
Abbotsford,3,h,PI,Nelson,2016-08-22,2.5,3067,3,3,1,174.0,Yarra,Northern Metropolitan,4019,St,0,0,8,4,19.333333333333332
Abbotsford,1,u,S,Jellis,2016-08-22,2.5,3067,1,1,1,50.0,Yarra,Northern Metropolitan,4019,St,0,0,8,46,16.666666666666668
Abbotsford,2,h,S,Nelson,2016-08-22,2.5,3067,2,2,2,128.0,Yarra,Northern Metropolitan,4019,St,0,0,8,96,21.333333333333332
Abbotsford,4,h,S,Collins,2016-09-24,2.5,3067,4,3,1,126.0,Yarra,Northern Metropolitan,4019,St,5,1,9,46,11.454545454545455
Abbotsford,3,h,S,Biggin,2017-02-25,2.5,3067,3,2,2,18.0,Yarra,Northern Metropolitan,4019,St,5,1,2,47,2.25
Abbotsford,3,h,S,Biggin,2017-02-25,2.5,3067,3,1,1,124.0,Yarra,Northern Metropolitan,4019,St,5,1,2,67,17.714285714285715
Abbotsford,1,u,S,Nelson,2016-07-26,2.5,3067,1,1,1,50.0,Yarra,Northern Metropolitan,4019,St,1,0,7,3,16.666666666666668
Abbotsford,2,h,S,Jellis,2016-11-27,2.5,3067,2,1,0,91.0,Yarra,Northern Metropolitan,4019,St,6,1,11,116,18.2
Abbotsford,3,h,SP,Jellis,2016-11-27,2.5,3067,3,2,1,128.0,Yarra,Northern Metropolitan,4019,St,6,1,11,18,16.0
Abbotsford,2,h,S,Nelson,2016-05-28,2.5,3067,2,1,0,82.0,Yarra,Northern Metropolitan,4019,St,5,1,5,116,16.4
Abbotsford,2,h,S,Biggin,2016-07-30,2.5,3067,2,1,1,81.0,Yarra,Northern Metropolitan,4019,St,5,1,7,86,16.2
Airport West,3,t,PI,Nelson,2016-09-03,13.5,3042,3,2,1,225.0,Moonee Valley,Western Metropolitan,3464,Rd,5,1,9,0,28.125
